label	Dclass	acc	acc_std	ari	ari_std
Naive_6	Seg	0.63076	0.01077212336	0.4212667333	0.01111578368
Naive_6	Wang	0.59628	0.00893277257	0.3784746872	0.008490660857
Naive_7	Baron	0.62828	0.01011954671	0.4162055137	0.01062970959
Naive_7	Muraro	0.7642	0.00909795001	0.5854840767	0.01081885285
Naive_7	Xin	0.54332	0.007877488498	0.3318853106	0.007758693187
Naive_7	Seg	0.60956	0.01047930554	0.4115264985	0.01042689862
Naive_7	Wang	0.62928	0.008293532219	0.3813017305	0.007940069412
Navie_8	Baron	0.6236	0.009353806455	0.4060306603	0.009511181032
Navie_8	Muraro	0.70624	0.0100760409	0.5304949504	0.01079633806
Navie_8	Xin	0.4462	0.007804769871	0.2525220316	0.005344586382
Navie_8	Seg	0.61064	0.01131464273	0.4069678982	0.01199576417
Navie_8	Wang	0.60252	0.007590966449	0.3484301525	0.007773867911
Naive_9	Baron	0.68128	0.00925809423	0.4646893485	0.01027173229
Naive_9	Muraro	0.76764	0.009887785572	0.6020162983	0.01133866078
Naive_9	Xin	0.4882	0.006870255877	0.2834391877	0.006026298474
Naive_9	Seg	0.59748	0.01130987608	0.3866252778	0.01211510769
Naive_9	Wang	0.57176	0.008058420912	0.3454398276	0.008211006062
Naive_10	Baron	0.57128	0.009139350104	0.3537362411	0.008664422497
Naive_10	Muraro	0.74044	0.009320320974	0.5453247862	0.01080696777
Naive_10	Xin	0.481	0.006395727908	0.2909271384	0.005271602093
Naive_10	Seg	0.60328	0.01127466166	0.4027886374	0.01082534295
Naive_10	Wang	0.61256	0.007736220563	0.3653385852	0.007726292215
