label	Dclass	acc	acc_std	ari	ari_std
Naive_6	Seg	0.49432	0.009623134428	0.2600441259	0.009163767206
Naive_6	Wang	0.41248	0.006986537154	0.1445226142	0.005098301326
Naive_7	Baron	0.34124	0.00723448517	0.09625549883	0.00490322047
Naive_7	Muraro	0.34704	0.006921901141	0.103660138	0.004982359103
Naive_7	Xin	0.5136	0.007256573867	0.2277364471	0.006389641564
Naive_7	Seg	0.46112	0.008726971161	0.2370170771	0.008754043538
Naive_7	Wang	0.38272	0.006639285957	0.1127803233	0.00484116181
Navie_8	Baron	0.43636	0.00752849502	0.1807623955	0.00636498261
Navie_8	Muraro	0.41624	0.007931161588	0.1772632103	0.00602863681
Navie_8	Xin	0.57572	0.006836461716	0.2726783525	0.007368335526
Navie_8	Seg	0.49712	0.008749351257	0.2730135086	0.008818231087
Navie_8	Wang	0.46728	0.007618915213	0.1949694557	0.005740263498
Naive_9	Baron	0.33068	0.007248732961	0.07748667166	0.004743720047
Naive_9	Muraro	0.3106	0.007064599269	0.07422183321	0.004796512005
Naive_9	Xin	0.47292	0.006960370504	0.196653829	0.006204130354
Naive_9	Seg	0.45332	0.009159733042	0.217829657	0.008325655696
Naive_9	Wang	0.3214	0.006543423126	0.08078268727	0.004250972595
Naive_10	Baron	0.403	0.008819139843	0.1603951603	0.007166985265
Naive_10	Muraro	0.395	0.00904911497	0.1588930213	0.006467937232
Naive_10	Xin	0.57568	0.007946886086	0.2936475786	0.00732837145
Naive_10	Seg	0.42592	0.009011574068	0.2221477495	0.007457354014
Naive_10	Wang	0.40624	0.007633350242	0.1540173184	0.005611416408
